10028,578
10228,579
10429,578
10630,577
10830,577
11031,576
11231,576
11431,577
11632,576
11833,575
12034,574
12234,576
12434,574
12635,573
12835,574
13036,574
13237,574
13437,575
13637,575
13838,574
14039,575
14239,575
14440,575
14641,573
14840,574
15041,572
15242,573
15442,572
15643,573
15844,574
16044,575
16244,573
16445,576
16646,577
16846,577
17047,582
17247,578
17447,580
17648,579
17849,579
18050,579
18250,579
18451,579
18651,577
18851,578
19052,575
19253,577
19453,572
19654,576
19854,575
20055,577
20255,577
20456,576
20657,576
20857,576
21057,577
21258,576
21458,576
21659,575
21860,574
22061,575
22260,574
22461,574
22662,574
22862,573
23063,574
23264,575
23463,574
23664,575
23865,574
24066,577
24266,577
24467,576
24667,577
24867,576
25068,575
25269,574
25469,575
25670,574
25870,574
26071,574
26271,575
26472,573
26673,573
26873,573
27074,576
27274,574
27474,574
27675,564
27876,574
28077,575
28277,575
28477,576
28678,574
28878,574
29079,574
29280,569
29480,573
29680,572
29881,573
30082,573
30282,574
30483,574
30684,575
30883,575
31084,575
31285,576
31485,575
31686,573
31887,575
32087,575
32287,574
32488,573
32689,573
32889,573
33090,572
33290,571
33490,573
33691,571
33892,572
34093,572
34293,571
34494,570
34694,571
34894,572
35095,571
35296,572
35496,572
35697,569
35897,569
36098,570
36298,569
36499,570
36700,571
36900,572
37100,573
37301,574
37501,574
37702,575
37903,574
38104,576
38303,577
38504,576
38705,576
38905,576
39106,576
39307,574
39506,574
39707,573
39908,573
40109,573
40309,573
40510,572
40710,573
40910,574
41111,575
41312,572
41512,575
41713,573
41914,574
42114,574
42314,573
42515,573
42716,572
42916,570
43117,570
43317,572
43517,571
43718,572
43919,565
44120,573
44320,573
44520,573
44721,578
44921,579
45122,578
45323,579
45523,579
45723,578
45924,579
46125,580
46325,581
46526,580
46727,578
46927,579
47128,580
47328,580
47528,580
47729,584
47930,587
48131,587
48331,588
48531,592
48732,592
48932,593
49133,594
49334,593
49534,596
49735,598
49935,598
50136,597
50336,598
50537,598
50738,600
50938,600
51138,600
51339,600
51539,600
51740,601
51941,601
52142,602
52341,604
52542,603
52743,606
52943,604
53144,603
53345,602
53544,604
53745,606
53946,604
54147,604
54347,604
54548,606
54748,609
54948,608
55149,609
55350,609
55550,614
55751,611
55951,612
56152,611
56352,614
56553,613
56754,613
56954,613
57155,613
57355,614
57555,613
57756,613
57957,615
58158,616
58358,616
58558,616
58759,617
58959,617
59160,618
59361,618
59561,620
59761,619
59962,616
60163,616
60363,619
60564,617
60765,617
60964,620
61165,620
61366,619
61566,621
61767,621
61968,621
62168,622
62368,621
62569,622
62770,620
62970,620
63171,619
63372,619
63571,618
63772,616
63973,617
64174,618
64374,617
64575,619
64775,618
64975,615
65176,617
65377,619
65577,621
65778,618
65978,618
66179,618
66379,619
66580,617
66781,617
66981,618
67181,618
67382,617
67582,619
67783,619
67984,621
68185,621
68384,614
68585,624
68786,625
68986,624
69187,625
69388,625
69588,623
69788,624
69989,624
70190,622
70390,626
70591,624
70792,620
70991,621
71192,622
71393,622
71593,621
71794,622
71995,622
72195,622
72395,622
72596,630
72797,621
72997,621
73198,620
73398,621
73598,619
73799,618
74000,619
74201,619
74401,618
74601,617
74802,616
75002,624
75203,619
75404,619
75604,618
75805,620
76005,619
76206,620
76406,622
76607,620
76808,619
77008,620
77208,624
77409,623
77609,621
77810,621
78011,622
78212,623
78411,620
78612,621
78813,622
79013,620
79214,619
79415,622
79614,622
79815,620
80016,632
80217,623
80417,622
80618,622
80818,618
81018,623
81219,622
81420,622
81620,622
81821,622
82022,620
82222,621
82422,619
82623,618
82824,618
83024,621
83225,621
83425,619
83625,619
83826,621
84027,621
84228,620
84428,621
84628,621
84829,620
85029,625
85230,620
85431,620
85632,619
85831,618
86032,619
86233,619
86433,618
86634,622
86835,618
87034,618
87235,617
87436,617
87636,617
